"month","Landbouwenclave","Koeienrustplaats","Kapvlakte_I","Kapvlakte_II","Fietspad","Hek_laarweg","Wilgenbosje","Stierenkuil","Picknickbank","Kapvlakte_3","Dode_boom","Hereveldje","Drinkplaats","Rustplaats_2","Verjongingsplek","Drinkplaats_2","Rustplaats_3"
"2022-09","Galloway: 2.48 ± 2.14037952003749, Bulls: 1.25 ± 0.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022-10","Galloway: 2.11578947368421 ± 1.35946765155803, Bulls: 1.42857142857143 ± 0.534522483824849",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022-11","Galloway: 3.12765957446809 ± 2.14290559832445, Bulls: 1.2 ± 0.447213595499958",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022-12","Galloway: 5.76744186046512 ± 3.30826676892848, Bulls: 1.5 ± 0.707106781186548",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023-01","Galloway: 3.82758620689655 ± 3.11756504706158, Bulls: 1 ± 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023-02","Galloway: 5.81818181818182 ± 4.52123417238683, Bulls: 1 ± 0","Galloway: 4.27329192546584 ± 2.43666672331217, Bulls: 1.86666666666667 ± 0.833809387832792",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023-03","Galloway: 4.32142857142857 ± 3.70238733220499, Bulls: 1 ± NA","Galloway: 2.63541666666667 ± 1.78955914398618, Bulls: 1.25 ± 0.707106781186548","Galloway: 4.27272727272727 ± 3.66308364881036, Bulls: 1 ± 0","Galloway: 4 ± NA, Bulls: 1 ± NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023-04","Galloway: 4.26785714285714 ± 2.95106188240203, Bulls: 1.28571428571429 ± 0.755928946018455","Galloway: 5.33136094674556 ± 3.40993278367478, Bulls: 1.14285714285714 ± 0.356348322549899","Galloway: 4 ± 4.75316658582387, Bulls: 1 ± 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023-05","Galloway: 4.45901639344262 ± 4.03556592682201, Bulls: 1.76470588235294 ± 1.52189896858768","Galloway: 2.42857142857143 ± 2.5727509827124, Bulls: 1 ± 0","Galloway: 1.72222222222222 ± 1.17851130197758, Bulls: 1.16666666666667 ± 0.577350269189626","Galloway: 7.25 ± 5.61990510002912, Bulls: 1.5 ± 0.707106781186548","Galloway: 4.18181818181818 ± 5.01633694678063, Bulls: 1.5 ± 1","Galloway: 3.64516129032258 ± 3.09352428035053, Bulls: 1.70588235294118 ± 1.159994928995","Galloway: 1.42424242424242 ± 0.86042218725829, Bulls: 1.16666666666667 ± 0.514495755427526",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023-06","Galloway: 8.3 ± 6.5328231093286, Bulls: 1.5 ± 1",NA,"Galloway: 1.88888888888889 ± 1.05409255338946, Bulls: 1.33333333333333 ± 0.516397779494322","Galloway: 1.88235294117647 ± 1.11143786045242, Bulls: 1.25 ± 0.707106781186548",NA,NA,"Galloway: 1.55794701986755 ± 1.02778308355421, Bulls: 1.24832214765101 ± 0.591676960215124",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023-07",NA,NA,"Galloway: 2.78571428571429 ± 1.88836809598501, Bulls: 2.2 ± 1.31656117720877","Galloway: 5.4047619047619 ± 4.30008238043335, Bulls: 2.10526315789474 ± 1.19697474409935",NA,NA,NA,"Galloway: 14.3333333333333 ± 12.7410099024109, Bulls: NaN ± NA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023-08",NA,NA,"Galloway: 2.66666666666667 ± 2.86846129055956, Bulls: 1.55555555555556 ± 0.891555828241729","Galloway: 6.23809523809524 ± 4.82170591453557, Bulls: 1.44827586206897 ± 0.827483573274665",NA,NA,"Galloway: 2.0625 ± 1.33448657931796, Bulls: 1.15 ± 0.366347548532523",NA,"Galloway: 5 ± 6.30018314752101, Bulls: 1.7 ± 1.25166555703457",NA,NA,NA,NA,NA,NA,NA,NA
"2023-09",NA,NA,"Galloway: 1.25 ± 0.550119604220181, Bulls: 1 ± 0","Galloway: 6.29268292682927 ± 4.77621137743622, Bulls: 1.21428571428571 ± 0.578934223521839",NA,NA,NA,NA,"Galloway: 5.5 ± 4.12310562561766, Bulls: 1 ± 0","Galloway: 2.3 ± 1.76698110409314, Bulls: NaN ± NA",NA,NA,NA,NA,NA,NA,NA
"2023-10",NA,NA,"Galloway: 1.76315789473684 ± 1.51451018799168, Bulls: 1.17647058823529 ± 0.392952623996688","Galloway: 5.52777777777778 ± 5.36382651850663, Bulls: 1 ± 0",NA,NA,NA,NA,NA,NA,"Galloway: 4.96428571428571 ± 3.3497611065417, Bulls: 1 ± 0",NA,NA,NA,NA,NA,NA
"2023-11",NA,"Galloway: 3.125 ± 1.45773797371133, Bulls: NaN ± NA","Galloway: 2.18181818181818 ± 2.04659526740198, Bulls: 1.12121212121212 ± 0.331433982639808","Galloway: 5.68421052631579 ± 2.99644170198583, Bulls: 1.03571428571429 ± 0.188982236504614",NA,NA,NA,NA,NA,NA,"Galloway: 2.33333333333333 ± 1.58113883008419, Bulls: 1 ± 0",NA,NA,NA,NA,NA,NA
"2023-12","Galloway: 3.82692307692308 ± 3.02746353321509, Bulls: 1.16666666666667 ± 0.383482494423685","Galloway: 2.875 ± 2.83457406440232, Bulls: 1.3125 ± 0.602079728939615","Galloway: 1 ± 0, Bulls: 1 ± 0","Galloway: 4.6 ± 2.70185121722126, Bulls: 1 ± 0",NA,NA,NA,NA,NA,NA,"Galloway: 3.03448275862069 ± 2.29101909047184, Bulls: 1 ± 0",NA,NA,NA,NA,NA,NA
"2024-01","Galloway: 6.4375 ± 4.42530601578392, Bulls: 1.22222222222222 ± 0.440958551844098","Galloway: 2.80487804878049 ± 2.01499946016133, Bulls: 1.14285714285714 ± 0.377964473009227","Galloway: 1 ± NA, Bulls: 1 ± NA",NA,NA,NA,NA,NA,NA,NA,"Galloway: 2.7906976744186 ± 1.79361485931788, Bulls: 1.2 ± 0.414039335605413",NA,NA,NA,NA,NA,NA
"2024-02","Galloway: 5.61702127659574 ± 4.12602130434215, Bulls: NaN ± NA",NA,"Galloway: 1.7 ± 1.05934990547138, Bulls: 1 ± 0","Galloway: 1.8 ± 0.836660026534076, Bulls: 2 ± NA",NA,NA,NA,NA,NA,NA,"Galloway: 5.4 ± 6.95701085237043, Bulls: 1.2 ± 0.447213595499958",NA,NA,NA,NA,NA,NA
"2024-03","Galloway: 5 ± 4.07261671368074, Bulls: 1.4 ± 0.894427190999916","Galloway: 5.24175824175824 ± 3.03439783277839, Bulls: 1.42857142857143 ± 0.786795792469443","Galloway: 2.96666666666667 ± 3.17841137214406, Bulls: 1.30769230769231 ± 0.630425171956115","Galloway: 4.08 ± 3.46313923100607, Bulls: 1.42857142857143 ± 0.534522483824849",NA,NA,NA,NA,NA,NA,"Galloway: 2.89189189189189 ± 2.0108564204198, Bulls: 1 ± 0","Galloway: 3.45454545454545 ± 3.06936133763671, Bulls: 1.18181818181818 ± 0.404519917477945",NA,NA,NA,NA,NA
"2024-04","Galloway: 5.08333333333333 ± 4.26182127351393, Bulls: 1.30769230769231 ± 0.630425171956115","Galloway: 3.52631578947368 ± 5.90344307280066, Bulls: 1.16666666666667 ± 0.408248290463863","Galloway: 1.71428571428571 ± 2.12778582744423, Bulls: 1.11111111111111 ± 0.333333333333333","Galloway: 3.5875 ± 4.20275301574961, Bulls: 1.14285714285714 ± 0.448395139423033",NA,NA,NA,NA,NA,NA,"Galloway: 4.61904761904762 ± 6.84453205468563, Bulls: 1.6 ± 1.26491106406735","Galloway: 3.61290322580645 ± 2.57782103535575, Bulls: 1.22222222222222 ± 0.440958551844098",NA,NA,NA,NA,NA
"2024-05","Galloway: 6.01369863013699 ± 5.9849188954983, Bulls: 1.125 ± 0.341565025531987","Galloway: 2.78688524590164 ± 2.57626832258314, Bulls: 1.14285714285714 ± 0.363136519601282","Galloway: 4.30769230769231 ± 4.71495166791445, Bulls: 2.16666666666667 ± 0.983192080250175","Galloway: 5.12244897959184 ± 5.82248748768236, Bulls: 1.875 ± 1.08781125813871",NA,NA,"Galloway: 2.264 ± 2.44832210391076, Bulls: 1.35135135135135 ± 0.859689676026379",NA,NA,NA,"Galloway: 1 ± NA, Bulls: NaN ± NA","Galloway: 2.60810810810811 ± 2.82032259247911, Bulls: 1.36619718309859 ± 1.00341469307444","Galloway: 4.6 ± 3.91152144312159, Bulls: 1 ± 0","Galloway: 5.125 ± 3.39905449037985, Bulls: 1.5 ± 0.577350269189626","Galloway: 1.33333333333333 ± 0.577350269189626, Bulls: NaN ± NA",NA,NA
"2024-06","Galloway: 5.28813559322034 ± 4.59779125179587, Bulls: 1.16666666666667 ± 0.577350269189626","Galloway: 2.25 ± 1.48804761828569, Bulls: NaN ± NA","Galloway: 5 ± 4.74341649025257, Bulls: 1.5 ± 0.707106781186548","Galloway: 5.54166666666667 ± 6.55398429544407, Bulls: 1.91666666666667 ± 1.56427928995103",NA,NA,"Galloway: 3.37878787878788 ± 4.13610116785018, Bulls: 1.46808510638298 ± 0.830166662936798","Galloway: 6.17543859649123 ± 6.18501301250954, Bulls: 2.06666666666667 ± 1.11210683353507",NA,NA,NA,"Galloway: 3.21739130434783 ± 3.43718333072472, Bulls: 1.5 ± 0.816496580927726","Galloway: 5.14285714285714 ± 4.86092289885073, Bulls: 1.75 ± 0.965307299163423","Galloway: 2.41666666666667 ± 1.31137217055151, Bulls: 1 ± NA","Galloway: 4.0625 ± 4.47889315243931, Bulls: 1.8695652173913 ± 1.17953564923918","Galloway: 2.80769230769231 ± 2.38359779777094, Bulls: 2.2 ± 0.918936583472681","Galloway: 2.07843137254902 ± 1.8313179653452, Bulls: 1.94444444444444 ± 1.66175747583597"
"2024-07","Galloway: 5.28571428571429 ± 5.14250699088105, Bulls: 1 ± 0","Galloway: 1.75 ± 1.5, Bulls: 1 ± 0",NA,"Galloway: 6.4 ± 8.41427358718505, Bulls: 2 ± NA",NA,NA,"Galloway: 3.2972972972973 ± 3.298693890221, Bulls: 1.33333333333333 ± 0.887625364598595","Galloway: 5 ± 4.02492235949962, Bulls: 2.1 ± 1.91195071996",NA,NA,NA,"Galloway: 1.94871794871795 ± 1.58858954237495, Bulls: 1.18181818181818 ± 0.664498639244989","Galloway: 3.25 ± 3.43511280746353, Bulls: 2.75 ± 3.5",NA,"Galloway: 2.91666666666667 ± 3.07750133919607, Bulls: 2.18181818181818 ± 2.27236360726807","Galloway: 1 ± NA, Bulls: 1 ± NA","Galloway: 1 ± 0, Bulls: 1 ± 0"
"2025-04",NA,NA,NA,"Galloway: 4.5 ± 4.72228758124704, Bulls: 1 ± 0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,"Galloway: 1 ± NA, Bulls: 1 ± NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
